Date,Price,Open,High,Low,Vol.,Change %
2-Jan-80,183.0,182.8,183.5,182.1,-,0.11%
3-Jan-80,184.1,183.5,184.7,182.5,-,0.60%
4-Jan-80,180.7,183.9,183.9,180.3,-,-1.85%
9-Jan-80,169.9,169.0,171.0,167.0,-,-5.98%
10-Jan-80,177.1,168.0,177.5,168.0,-,4.24%
11-Jan-80,178.5,176.5,178.5,175.5,-,0.79%
14-Jan-80,179.9,177.5,180.0,177.0,-,0.78%
15-Jan-80,181.9,180.5,182.0,180.5,-,1.11%
16-Jan-80,184.2,181.0,185.0,181.0,-,1.26%
17-Jan-80,192.5,184.5,193.0,184.0,-,4.51%
18-Jan-80,186.0,192.0,192.5,185.5,-,-3.38%
21-Jan-80,187.0,185.9,188.5,185.5,-,0.54%
22-Jan-80,184.0,185.5,185.5,182.5,-,-1.60%
23-Jan-80,189.0,186.4,189.3,186.2,-,2.72%
24-Jan-80,186.4,187.5,188.1,186.1,-,-1.38%
25-Jan-80,184.4,187.0,187.5,184.1,-,-1.07%
28-Jan-80,184.1,184.0,186.1,183.6,-,-0.16%
29-Jan-80,183.1,184.5,185.5,183.0,-,-0.54%
30-Jan-80,183.8,184.5,186.0,183.5,-,0.38%
31-Jan-80,185.6,183.0,185.8,183.0,-,0.98%
1-Feb-80,184.8,186.0,186.5,184.7,-,-0.43%
4-Feb-80,187.1,185.5,187.5,185.5,-,1.24%
5-Feb-80,185.6,186.0,186.5,185.5,-,-0.80%
6-Feb-80,184.3,186.5,187.5,184.2,-,-0.70%
7-Feb-80,185.5,184.5,185.6,183.8,-,0.65%
8-Feb-80,183.9,186.0,186.3,183.5,-,-0.86%
11-Feb-80,183.9,183.8,184.5,183.3,-,0.00%
12-Feb-80,181.6,183.5,183.5,181.2,-,-1.25%
13-Feb-80,181.2,182.0,182.2,180.5,-,-0.22%
14-Feb-80,179.7,180.8,181.3,179.1,-,-0.83%
15-Feb-80,179.3,180.0,180.0,179.0,-,-0.22%
19-Feb-80,176.3,179.0,179.0,176.0,-,-1.67%
20-Feb-80,177.3,176.5,177.5,176.5,-,0.57%
21-Feb-80,177.5,177.5,178.5,177.0,-,0.11%
22-Feb-80,176.2,177.1,177.3,175.0,-,-0.73%
25-Feb-80,176.1,176.0,177.5,175.8,-,-0.06%
26-Feb-80,175.1,176.2,176.6,174.7,-,-0.57%
27-Feb-80,175.9,175.0,176.0,174.0,-,0.46%
28-Feb-80,174.2,175.0,175.7,173.8,-,-0.97%
29-Feb-80,171.5,171.0,173.1,171.0,-,-1.55%
3-Mar-80,172.2,171.0,172.5,170.8,-,0.41%
4-Mar-80,173.1,172.5,173.8,172.5,-,0.52%
5-Mar-80,172.6,172.5,173.7,172.4,-,-0.29%
6-Mar-80,172.7,172.5,174.5,172.5,-,0.06%
7-Mar-80,171.1,172.0,172.0,170.8,-,-0.93%
10-Mar-80,169.6,171.5,171.5,168.3,-,-0.88%
11-Mar-80,168.9,169.4,169.7,168.6,-,-0.41%
12-Mar-80,169.9,169.8,170.1,168.9,-,0.59%
13-Mar-80,168.4,170.0,170.0,168.4,-,-0.88%
14-Mar-80,168.7,168.5,169.0,168.0,-,0.18%
17-Mar-80,167.0,167.5,167.5,166.1,-,-1.01%
18-Mar-80,167.6,167.5,167.7,167.0,-,0.36%
19-Mar-80,169.0,168.5,169.0,168.3,-,0.84%
20-Mar-80,168.5,169.5,169.5,168.0,-,-0.30%
21-Mar-80,172.2,173.0,173.0,171.9,-,2.20%
24-Mar-80,169.6,171.7,172.5,169.5,-,-1.51%
25-Mar-80,168.6,169.6,170.5,168.5,-,-0.59%
26-Mar-80,166.7,168.5,168.5,166.3,-,-1.13%
27-Mar-80,163.9,165.5,165.5,160.8,-,-1.68%
28-Mar-80,163.5,165.0,165.0,162.3,-,-0.24%
31-Mar-80,161.4,163.0,163.8,160.7,-,-1.28%
1-Apr-80,160.1,161.0,161.0,158.5,-,-0.81%
2-Apr-80,160.5,159.0,161.5,158.1,-,0.25%
3-Apr-80,162.7,161.5,163.8,161.0,-,1.37%
7-Apr-80,163.4,163.0,164.3,162.5,-,0.43%
8-Apr-80,164.3,163.5,164.5,163.5,-,0.55%
9-Apr-80,166.6,165.3,166.7,165.2,-,1.40%
10-Apr-80,165.3,166.0,166.2,165.1,-,-0.78%
11-Apr-80,164.9,165.0,165.2,164.0,-,-0.24%
14-Apr-80,163.1,165.0,165.2,162.6,-,-1.09%
15-Apr-80,163.8,162.5,163.8,161.5,-,0.43%
16-Apr-80,165.9,164.8,166.4,164.8,-,1.28%
17-Apr-80,163.9,165.5,165.5,163.8,-,-1.21%
18-Apr-80,163.5,162.5,163.8,162.3,-,-0.24%
21-Apr-80,165.3,162.5,165.5,162.4,-,1.10%
22-Apr-80,165.2,165.2,166.2,164.0,-,-0.06%
23-Apr-80,165.7,165.0,167.5,164.7,-,0.30%
