hot_press,dia_mm,thickness,density,theoretical,r_mcm,a_uv_k,notes
Run I.D.,,(mm),(g/cc),Density,,,
JH-1-03AB,25,0.95,6.11,90.6,9.1,275,
JH-1-13AB,25,1.35,6.06,89.9,5.82,268,
JH-1-28AB,25,2.53,6.7,99.4,2.34,253,
JH-1-31AB,25,1.91,6.49,96.3,1.58,232,best p-type result thus far
JH-1-47AB,25,2.19,6.45,95.7,1.55,228,
JH-1-78AB,25,2.11,6.46,95.8,1.48,228,
JH-1-22,25,0.74,7.41,96.6,2.05,-121,
JH-1-33AB,25,2.5,7.76,101.1,7.55,-76,
JH-1-36AB,25,2.17,7.6,99.1,1.25,-171,best n-type result thus far
JH-1-43AB,25,2.55,7.72,100.6,8.94,-254,
JH-1-50AB,25,2.21,7.73,100.7,10.4,-230,
JH-1-57AB,25,2.56,7.82,101.9,15.1,-26,
JH-1-63AB1,13,2.97,7.79,101.6,10.4,-246,development sample
JH-1-63AB2,13,3,7.82,101.9,9.7,-250,development sample
JH-1-63AB3,13,3.05,7.81,101.8,10.7,-238,development sample
JH-1-69AB1,13,3.13,7.84,102.2,17.3,-53,development sample
JH-1-69AB2,13,3.02,7.66,99.8,12.6,-178,development sample
JH-1-69AB3,13,2.83,7.87,102.6,9.51,-227,development sample
JH-L-N2,n/a,n/a,7.45,97.1,0.987,-223,TE reference (earlier work)
